title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,url,categoryName,log_reviews,composite,tier,score_band
Lena Trattoria,4.7,428.0,3470 E Tremont Ave,Bronx,New York,US,https://www.lenatrattoria.com/,(718) 239-5362,Italian restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Lena%20Trattoria&query_place_id=ChIJA4JRKzCLwokRHBTppuJxhpg,Italian restaurant,6.061456918928017,28.489,Small,4.5–5.0
Boca - Chicken Cafe,4.9,215.0,475 Bruckner Blvd,Bronx,New York,US,https://www.bocachickencafe.com/,(718) 799-1399,Restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Boca%20-%20Chicken%20Cafe&query_place_id=ChIJjYaWyFb1wokRcYFin-9OBbQ,Restaurant,5.375278407684165,26.339,Small,4.5–5.0
Dakota's On The Cove,4.6,156.0,3154 Harding Ave,Bronx,New York,US,https://dakotasonthecove.com/,(718) 535-3079,American restaurant,Seafood restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dakota's%20On%20The%20Cove&query_place_id=ChIJGfMswIuLwokREBZCxHNbt7U,American restaurant,5.056245805348308,23.259,Small,4.5–5.0
Sugar Restaurant,4.7,1640.0,1010 Southern Blvd,Bronx,New York,US,http://sugarbbq.com/,(718) 600-7330,Restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sugar%20Restaurant&query_place_id=ChIJEQ7GGTj1wokRPTSSOZSVons,Restaurant,7.403061091090091,34.794,Popular,4.5–5.0
Los Amigos Restaurant,4.3,338.0,674 E 180th St,Bronx,New York,US,https://losamigosny.com/,(718) 220-3551,Latin American restaurant,Caterer,Delivery Restaurant,Takeout Restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Los%20Amigos%20Restaurant&query_place_id=ChIJM8Rng2L0wokRjDcrFJVKRxo,Latin American restaurant,5.82600010738045,25.052,Small,4.0–4.5
La Reina Restaurant,4.2,87.0,3035 Cross Bronx Expy,Bronx,New York,US,,(347) 281-9951,Latin American restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=La%20Reina%20Restaurant&query_place_id=ChIJcwxzMGqLwokR7FRx9qfvHiw,Latin American restaurant,4.477336814478207,18.805,Micro,4.0–4.5
RUTA 55 RESTAURANT,4.5,156.0,1316 Lafayette Ave,Bronx,New York,US,,(718) 709-3935,Restaurant,Dominican restaurant,Latin American restaurant,Spanish restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=RUTA%2055%20RESTAURANT&query_place_id=ChIJM8yeSKL1wokR6rqqXlx4FIs,Restaurant,5.056245805348308,22.753,Small,4.0–4.5
Nana's Kitchen,4.6,217.0,1809 Hone Ave,Bronx,New York,US,http://www.nanaskitchenbronx.com/,(347) 810-9070,Eastern European restaurant,Takeout Restaurant,Mediterranean restaurant,Seafood restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Nana's%20Kitchen&query_place_id=ChIJM0JDlaX0wokRDjesSHnSNc8,Eastern European restaurant,5.384495062789089,24.769,Small,4.5–5.0
Pine Restaurant,4.5,4766.0,1913 Bronxdale Ave,Bronx,New York,US,http://fjpine.com/,(718) 792-5956,Italian restaurant,Banquet hall,Bar,Caterer,Event venue,,,,,,,https://www.google.com/maps/search/?api=1&query=Pine%20Restaurant&query_place_id=ChIJIcUqAKP0wokRJzfqJIeeYkA,Italian restaurant,8.469472455204826,38.113,Viral,4.0–4.5
Porto Salvo,4.6,886.0,424 E 161st St,Bronx,New York,US,https://portosalvonyc.com/?utm_source=google,(929) 376-7866,Italian restaurant,Cocktail bar,Family restaurant,Fine dining restaurant,Mediterranean restaurant,Oyster bar restaurant,Pasta shop,Pizza restaurant,Seafood restaurant,Vegetarian restaurant,,https://www.google.com/maps/search/?api=1&query=Porto%20Salvo&query_place_id=ChIJx-zorsr1wokR5a-0j2bBtPI,Italian restaurant,6.787844982309579,31.224,Popular,4.5–5.0
Parrilla Azteca Cibaena Restaurant,4.4,597.0,1288 Westchester Ave,Bronx,New York,US,http://parrillaaztecacibaenarestaurant.com/,(718) 708-1177,Restaurant,Bar,Dominican restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Parrilla%20Azteca%20Cibaena%20Restaurant&query_place_id=ChIJKzUTqOL1wokRViLXq42Jf3k,Restaurant,6.393590753950631,28.132,Popular,4.0–4.5
Tulcingo Cafe,4.3,111.0,3041 Buhre Ave,Bronx,New York,US,,(347) 281-8787,Mexican restaurant,Delivery Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Tulcingo%20Cafe&query_place_id=ChIJmecMRVeLwokRBXLA2IyjUa4,Mexican restaurant,4.718498871295094,20.29,Small,4.0–4.5
Travesias,4.3,1284.0,3834 E Tremont Ave,Bronx,New York,US,https://www.travesiasny.com/,(718) 828-3834,Latin American restaurant,Fusion restaurant,Nuevo Latino restaurant,Spanish restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Travesias&query_place_id=ChIJB52uuD2LwokRNwneWmZBND8,Latin American restaurant,7.158513997329321,30.782,Popular,4.0–4.5
Betos Restaurant Inc,4.4,70.0,835 E 152nd St # 4,Bronx,New York,US,https://betosrestaurantincny.com/,(347) 726-2925,Restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Betos%20Restaurant%20Inc&query_place_id=ChIJa67-8_r1wokRavKD1mu_-TU,Restaurant,4.2626798770413155,18.756,Micro,4.0–4.5
