order_id,order_date,customer_id,customer_segment,category,product_name,region,channel,payment_method,unit_price,quantity,discount_pct,revenue,shipping_status,rating,return_flag,month,quarter,year,profit
ORD100000,2024-10-16,CUST2151,Returning,Electronics,Electronics Product 3,West,Website,UPI,70744.31,1,0,70744.31,Shipped,2.8,0,10,4,2024,16271.1913
ORD100001,2023-04-25,CUST5544,VIP,Electronics,Electronics Product 27,North,Website,UPI,56882.95,5,5,270194.01,Returned,3.1,0,4,2,2023,32423.2812
ORD100002,2023-01-26,CUST2760,New,Home & Kitchen,Home & Kitchen Product 7,South,Mobile App,Net Banking,1926.78,2,20,3082.85,Processing,4.3,1,1,1,2023,863.1980000000001
ORD100003,2023-10-09,CUST9986,Returning,Automotive,Automotive Product 43,Central,Marketplace,Debit Card,14817.07,2,0,29634.14,Shipped,3.1,0,10,4,2023,9779.2662
ORD100004,2023-09-08,CUST9769,Returning,Automotive,Automotive Product 38,South,Mobile App,Debit Card,7377.07,1,20,5901.66,Delivered,4.9,0,9,3,2023,1298.3652
ORD100005,2023-08-17,CUST5397,VIP,Home & Kitchen,Home & Kitchen Product 4,West,Marketplace,Debit Card,6489.52,1,0,6489.52,Processing,3.9,0,8,3,2023,1492.5896000000002
ORD100006,2023-05-23,CUST3087,New,Clothing,Clothing Product 7,Central,Marketplace,Wallet,1789.82,1,15,1521.35,Processing,4.1,0,5,2,2023,197.7755
ORD100007,2023-04-15,CUST2571,VIP,Automotive,Automotive Product 37,West,Social Media,Wallet,2355.04,3,15,6005.35,Cancelled,3.8,0,4,2,2023,960.8560000000001
ORD100008,2024-11-23,CUST7934,At-Risk,Beauty,Beauty Product 16,North,Marketplace,Debit Card,2048.68,2,0,4097.36,Processing,4.6,0,11,4,2024,614.6039999999999
ORD100009,2024-07-12,CUST4356,At-Risk,Books,Books Product 42,Central,Marketplace,Debit Card,763.86,2,5,1451.33,Processing,4.6,0,7,3,2024,348.31919999999997
ORD100010,2023-03-31,CUST1654,VIP,Beauty,Beauty Product 16,West,Social Media,UPI,2885.14,1,0,2885.14,Returned,4.3,1,3,1,2023,750.1364
ORD100011,2024-08-27,CUST1981,VIP,Sports,Sports Product 14,West,Website,Wallet,19665.4,5,10,88494.3,Cancelled,4.5,0,8,3,2024,33627.834
ORD100012,2024-03-08,CUST1161,Returning,Electronics,Electronics Product 24,West,Website,UPI,9943.99,3,5,28340.37,Delivered,3.8,0,3,1,2024,3400.8444
ORD100013,2023-02-02,CUST2825,Returning,Books,Books Product 40,West,Social Media,Debit Card,442.35,1,10,398.12,Processing,4.4,0,2,1,2023,111.47360000000002
ORD100014,2023-01-31,CUST6531,At-Risk,Toys,Toys Product 15,Central,Social Media,UPI,2083.16,1,0,2083.16,Delivered,3.7,0,1,1,2023,541.6216
ORD100015,2023-04-06,CUST5541,Returning,Toys,Toys Product 32,East,Website,UPI,2790.6,1,0,2790.6,Cancelled,4.0,1,4,2,2023,697.65
ORD100016,2023-08-12,CUST5656,Returning,Books,Books Product 39,West,Mobile App,Net Banking,189.2,1,0,189.2,Cancelled,3.8,0,8,3,2023,68.112
ORD100017,2023-08-27,CUST8041,At-Risk,Clothing,Clothing Product 32,North,Website,Credit Card,3805.23,2,0,7610.46,Processing,3.6,0,8,3,2023,1217.6736
ORD100018,2024-06-01,CUST4943,New,Automotive,Automotive Product 6,South,Marketplace,UPI,39192.6,1,10,35273.34,Delivered,3.4,0,6,2,2024,3880.0673999999995
ORD100019,2024-09-08,CUST4776,Returning,Automotive,Automotive Product 39,Central,Mobile App,Credit Card,20473.9,1,20,16379.12,Processing,4.4,0,9,3,2024,4913.736
